Feature,ICC_Score,N_Samples
Time_to_Peak,0.9714301160721096,60
Press_Duration,0.9684657872814735,60
Area,0.9623777551393284,60
Max_Acceleration,0.7736865329196874,60
Max_Depth,0.6726386770872458,60
Release_Time,0.5808860550922078,60
Max_Velocity,0.4510382539248099,60
