Feature,ICC_Score,N_Samples
Press_Duration,0.8952013449189001,57
Time_to_Peak,0.876341948762485,57
Area,0.868889238068314,57
Max_Acceleration,0.8401723566306347,57
Release_Time,0.788194147960705,57
Max_Velocity,0.7270417950227213,57
Max_Depth,0.45184710536963446,57
