Feature,ICC_Score,N_Samples
Area,0.9027933418831873,59
Press_Duration,0.8949781060677691,59
Release_Time,0.89422658972458,59
Max_Acceleration,0.8744178720318946,59
Time_to_Peak,0.7800960181111103,59
Max_Velocity,0.7552278988953245,59
Max_Depth,0.687146948311921,59
