Time_us,K1,K2,K3
109,0.0000,0.0051,0.0000
6287,0.0000,0.0041,0.0006
12285,0.0000,0.0039,0.0014
18290,0.0000,0.0027,0.0017
24287,0.0000,0.0024,0.0026
30285,0.0000,0.0001,0.0034
36283,0.0000,0.0016,0.0043
42283,0.0000,0.0021,0.0039
48284,0.0000,0.0000,0.0038
54281,0.0000,0.0000,0.0047
60289,0.0000,0.0000,0.0048
66284,0.0000,0.0000,0.0030
72285,0.0000,0.0000,0.0007
78280,0.0000,0.0001,0.0018
84291,0.0000,0.0008,0.0017
90283,0.0000,0.0008,0.0023
96287,0.0000,0.0018,0.0034
102288,0.0000,0.0013,0.0031
108286,0.0000,0.0019,0.0028
114282,0.0000,0.0014,0.0025
120296,0.0000,0.0030,0.0013
126286,0.0000,0.0033,0.0000
132285,0.0000,0.0026,0.0009
138287,0.0000,0.0023,0.0022
144283,0.0000,0.0037,0.0024
150282,0.0000,0.0036,0.0002
156283,0.0000,0.0045,0.0020
162284,0.0000,0.0039,0.0032
168284,0.0000,0.0038,0.0029
174283,0.0000,0.0043,0.0030
180291,0.0000,0.0048,0.0034
186287,0.0000,0.0049,0.0037
192286,0.0000,0.0049,0.0036
198283,0.0000,0.0050,0.0043
204283,0.0000,0.0050,0.0054
210289,0.0000,0.0061,0.0058
216289,0.0000,0.0056,0.0038
222284,0.0000,0.0059,0.0024
228285,0.0000,0.0054,0.0025
234286,0.0000,0.0057,0.0013
240284,0.0000,0.0063,0.0019
246286,0.0000,0.0055,0.0005
252283,0.0000,0.0051,0.0013
258287,0.0000,0.0041,0.0026
264285,0.0000,0.0046,0.0004
270293,0.0000,0.0047,0.0000
276276,0.0000,0.0054,0.0000
282277,0.0000,0.0057,0.0004
288289,0.0000,0.0029,0.0018
294284,0.0000,0.0033,0.0027
300289,0.0000,0.0032,0.0035
306292,0.0000,0.0039,0.0038
312284,0.0000,0.0041,0.0044
318283,0.0000,0.0049,0.0046
324283,0.0000,0.0056,0.0047
330288,0.0000,0.0052,0.0052
336289,0.0000,0.0052,0.0029
342291,0.0000,0.0049,0.0010
348289,0.0000,0.0049,0.0013
354287,0.0000,0.0057,0.0003
360285,0.0000,0.0056,0.0000
366279,0.0000,0.0052,0.0002
372286,0.0000,0.0052,0.0013
378287,0.0000,0.0052,0.0029
384289,0.0000,0.0048,0.0027
390284,0.0000,0.0052,0.0005
396283,0.0000,0.0042,0.0019
402288,0.0000,0.0044,0.0024
408283,0.0000,0.0041,0.0032
414284,0.0000,0.0043,0.0029
420289,0.0000,0.0041,0.0030
426283,0.0000,0.0043,0.0030
432282,0.0000,0.0037,0.0034
438284,0.0000,0.0039,0.0018
444288,0.0000,0.0031,0.0030
450291,0.0000,0.0031,0.0040
456285,0.0000,0.0041,0.0000
462281,0.0000,0.0032,0.0001
468288,0.0000,0.0032,0.0006
474285,0.0000,0.0035,0.0023
480289,0.0000,0.0027,0.0025
486283,0.0000,0.0034,0.0000
492276,0.0091,0.0030,0.0000
498285,0.0330,0.0016,0.0000
504281,0.0881,0.0005,0.0000
510281,0.1938,0.0000,0.0000
516280,0.2910,0.0000,0.0005
522290,0.3704,0.0000,0.0016
528287,0.4383,0.0007,0.0028
539894,0.4954,0.0013,0.0016
546291,0.5439,0.0023,0.0015
552291,0.5860,0.0099,0.0028
558294,0.6212,0.0170,0.0032
564281,0.6512,0.0207,0.0032
570234,0.6764,0.0214,0.0036
576293,0.6980,0.0231,0.0035
582288,0.7159,0.0313,0.0035
588286,0.7308,0.0533,0.0022
594287,0.7451,0.1084,0.0023
600289,0.7562,0.2303,0.0028
606282,0.7682,0.3307,0.0006
612287,0.7775,0.4182,0.0000
618279,0.7854,0.4935,0.0003
624283,0.7921,0.5562,0.0004
630288,0.7981,0.6112,0.0018
636287,0.8032,0.6579,0.0024
642288,0.8062,0.6973,0.0022
648287,0.8089,0.7312,0.0024
654289,0.8133,0.7599,0.0025
660288,0.8161,0.7816,0.0003
666290,0.8191,0.8021,0.0070
672288,0.8222,0.8202,0.0400
678288,0.8271,0.8336,0.1426
684286,0.8298,0.8456,0.2600
690281,0.8301,0.8541,0.3576
696278,0.8304,0.8596,0.4395
702285,0.8313,0.8630,0.5088
708282,0.8300,0.8634,0.5687
714285,0.8292,0.8652,0.6199
720285,0.8288,0.8643,0.6644
726291,0.8287,0.8608,0.7006
732286,0.8261,0.8575,0.7321
738288,0.8146,0.8544,0.7578
744283,0.7816,0.8384,0.7807
750289,0.7273,0.7805,0.7991
756287,0.6548,0.6922,0.8135
762281,0.5725,0.5939,0.7978
768284,0.4893,0.5056,0.7246
774284,0.4152,0.4302,0.6256
780286,0.3525,0.3664,0.5329
786290,0.3000,0.3116,0.4542
792287,0.2532,0.2653,0.3869
798285,0.2131,0.2263,0.3300
804286,0.1804,0.1924,0.2797
810280,0.1529,0.1647,0.2382
816282,0.1264,0.1408,0.2030
822294,0.1047,0.1201,0.1731
828292,0.0889,0.1022,0.1479
834286,0.0731,0.0876,0.1243
840290,0.0620,0.0763,0.1061
846283,0.0506,0.0653,0.0894
852282,0.0428,0.0563,0.0775
858225,0.0334,0.0472,0.0670
864287,0.0285,0.0386,0.0515
870290,0.0216,0.0342,0.0426
876235,0.0179,0.0295,0.0371
882286,0.0151,0.0259,0.0320
888286,0.0101,0.0214,0.0281
894286,0.0062,0.0190,0.0224
900226,0.0037,0.0156,0.0175
906278,0.0058,0.0150,0.0154
912286,0.0051,0.0142,0.0116
918286,0.0036,0.0105,0.0104
924280,0.0009,0.0100,0.0100
930289,0.0049,0.0090,0.0087
936237,0.0340,0.0074,0.0079
942292,0.1167,0.0050,0.0075
948294,0.2195,0.0050,0.0046
954293,0.3094,0.0047,0.0047
960232,0.3867,0.0399,0.0045
966286,0.4560,0.1696,0.0050
972286,0.5147,0.2788,0.0034
978287,0.5649,0.3730,0.0037
984288,0.6052,0.4548,0.0040
990284,0.6407,0.5250,0.0023
996287,0.6711,0.5837,0.0024
1002287,0.6972,0.6342,0.0022
1008287,0.7197,0.6768,0.0027
1014292,0.7389,0.7137,0.0028
1020286,0.7551,0.7437,0.0036
1026290,0.7698,0.7706,0.0045
1032283,0.7814,0.7944,0.0080
1038289,0.7913,0.8140,0.0076
1044289,0.7997,0.8303,0.0070
1050233,0.8060,0.8439,0.0150
1056286,0.8124,0.8554,0.0523
1062286,0.8168,0.8675,0.1337
1068289,0.8225,0.8762,0.2406
1074289,0.8259,0.8828,0.3306
1080286,0.8288,0.8881,0.4060
1086231,0.8313,0.8909,0.4715
1092289,0.8297,0.8889,0.5281
1098286,0.8315,0.8868,0.5782
1104290,0.8310,0.8820,0.6207
1110286,0.8318,0.8769,0.6576
1116289,0.8259,0.8715,0.6889
1122284,0.8068,0.8649,0.7155
1128289,0.7642,0.8470,0.7375
1134287,0.7006,0.7920,0.7545
1140295,0.6234,0.7050,0.7684
1146284,0.5387,0.6078,0.7795
1152290,0.4549,0.5178,0.7872
1158289,0.3834,0.4402,0.7939
1164232,0.3238,0.3743,0.7949
