Time_us,K1,K2,K3
134,0.0000,0.0000,0.0028
5894,0.0000,0.0000,0.0037
11877,0.0000,0.0000,0.0025
17883,0.0000,0.0000,0.0032
23890,0.0000,0.0000,0.0034
29883,0.0000,0.0000,0.0026
35883,0.0000,0.0000,0.0033
41889,0.0000,0.0000,0.0042
47885,0.0000,0.0000,0.0026
53881,0.0000,0.0000,0.0006
59885,0.0000,0.0000,0.0002
65883,0.0000,0.0000,0.0012
71885,0.0000,0.0000,0.0017
77879,0.0000,0.0000,0.0025
83884,0.0000,0.0000,0.0032
89887,0.0000,0.0000,0.0041
95884,0.0000,0.0000,0.0032
101883,0.0000,0.0000,0.0037
107886,0.0000,0.0000,0.0039
113889,0.0000,0.0000,0.0000
119872,0.0011,0.0000,0.0000
125881,0.0017,0.0000,0.0027
131887,0.0013,0.0000,0.0007
137883,0.0013,0.0000,0.0020
143884,0.0000,0.0000,0.0014
149883,0.0000,0.0000,0.0009
155887,0.0000,0.0000,0.0015
161882,0.0000,0.0000,0.0023
167889,0.0000,0.0000,0.0030
173888,0.0013,0.0000,0.0032
179884,0.0000,0.0000,0.0038
185883,0.0000,0.0000,0.0026
191887,0.0000,0.0000,0.0029
197889,0.0000,0.0000,0.0019
203884,0.0000,0.0000,0.0013
209885,0.0000,0.0000,0.0005
215881,0.0000,0.0000,0.0000
221876,0.0000,0.0000,0.0012
227886,0.0000,0.0000,0.0007
233888,0.0000,0.0000,0.0016
239885,0.0000,0.0000,0.0011
245884,0.0000,0.0000,0.0020
251883,0.0000,0.0000,0.0024
257884,0.0000,0.0000,0.0017
263882,0.0000,0.0000,0.0012
269886,0.0000,0.0000,0.0020
275882,0.0000,0.0000,0.0014
281891,0.0000,0.0000,0.0009
287886,0.0000,0.0000,0.0000
293870,0.0000,0.0000,0.0000
299871,0.0000,0.0000,0.0000
305868,0.0000,0.0000,0.0000
311874,0.0000,0.0000,0.0018
317880,0.0000,0.0000,0.0023
323883,0.0000,0.0000,0.0016
329883,0.0000,0.0000,0.0021
335887,0.0000,0.0000,0.0028
341885,0.0000,0.0000,0.0038
347886,0.0000,0.0000,0.0029
353885,0.0000,0.0000,0.0039
359885,0.0000,0.0000,0.0056
365886,0.0000,0.0000,0.0038
371885,0.0000,0.0000,0.0030
377886,0.0000,0.0000,0.0052
383884,0.0000,0.0000,0.0035
389880,0.0000,0.0000,0.0013
395888,0.0000,0.0000,0.0008
401884,0.0000,0.0000,0.0004
407886,0.0000,0.0000,0.0027
413887,0.0000,0.0000,0.0020
419885,0.0000,0.0000,0.0027
425888,0.0000,0.0000,0.0034
431888,0.0000,0.0000,0.0036
437883,0.0000,0.0000,0.0044
443884,0.0000,0.0000,0.0045
449886,0.0000,0.0000,0.0032
455885,0.0000,0.0000,0.0024
461885,0.0000,0.0000,0.0047
467886,0.0000,0.0000,0.0047
473887,0.0000,0.0000,0.0037
479885,0.0000,0.0000,0.0025
485896,0.0000,0.0000,0.0032
491889,0.0020,0.0000,0.0038
497884,0.0005,0.0000,0.0042
503881,0.0000,0.0000,0.0043
509891,0.0000,0.0000,0.0030
515889,0.0000,0.0000,0.0033
521884,0.0005,0.0000,0.0025
527885,0.0000,0.0000,0.0018
533886,0.0000,0.0000,0.0029
539881,0.0000,0.0000,0.0022
545885,0.0000,0.0000,0.0016
551888,0.0000,0.0000,0.0007
557885,0.0000,0.0000,0.0016
563883,0.0000,0.0000,0.0028
569885,0.0000,0.0000,0.0044
575891,0.0000,0.0000,0.0048
581883,0.0000,0.0000,0.0028
587890,0.0000,0.0000,0.0021
593884,0.0000,0.0000,0.0011
599882,0.0000,0.0000,0.0000
605873,0.0000,0.0000,0.0010
611888,0.0000,0.0000,0.0016
617881,0.0077,0.0000,0.0024
623886,0.0210,0.0000,0.0027
629890,0.0394,0.0000,0.0004
635885,0.0561,0.0000,0.0014
641885,0.0838,0.0000,0.0022
647886,0.1325,0.0000,0.0016
653886,0.2203,0.0000,0.0040
659885,0.3092,0.0000,0.0048
665883,0.3870,0.0000,0.0051
671883,0.4565,0.0000,0.0057
677886,0.5139,0.0000,0.0062
683883,0.5635,0.0000,0.0040
689882,0.6057,0.0000,0.0028
695888,0.6432,0.0955,0.0034
701883,0.6788,0.2024,0.0023
707883,0.7073,0.2897,0.0016
713882,0.7310,0.3645,0.0011
719883,0.7503,0.4269,0.0020
725886,0.7667,0.4814,0.0024
731886,0.7809,0.5275,0.0057
737889,0.7922,0.5677,0.0254
743886,0.8026,0.6031,0.0652
749889,0.8106,0.6345,0.1493
755886,0.8182,0.6639,0.2581
761883,0.8244,0.6891,0.3499
767883,0.8286,0.7103,0.4289
773880,0.8330,0.7282,0.4964
779888,0.8364,0.7455,0.5538
785887,0.8393,0.7598,0.6016
791886,0.8413,0.7716,0.6425
797888,0.8426,0.7810,0.6766
803886,0.8446,0.7897,0.7027
809885,0.8457,0.7967,0.7242
815886,0.8450,0.7975,0.7447
821885,0.8343,0.7700,0.7612
827886,0.7972,0.7068,0.7746
833886,0.7280,0.6223,0.7803
839888,0.6409,0.5351,0.7879
845887,0.5480,0.4548,0.7919
851883,0.4663,0.3855,0.7891
857887,0.3965,0.3276,0.7554
863885,0.3370,0.2771,0.6814
869883,0.2866,0.2351,0.5902
875883,0.2441,0.1998,0.5030
881880,0.2077,0.1691,0.4263
887886,0.1753,0.1434,0.3634
893884,0.1492,0.1215,0.3082
899882,0.1267,0.1022,0.2617
905886,0.1076,0.0865,0.2221
911888,0.0920,0.0705,0.1899
917884,0.0778,0.0579,0.1608
923887,0.0666,0.0475,0.1363
929882,0.0565,0.0407,0.1173
935883,0.0480,0.0345,0.1007
941882,0.0393,0.0293,0.0850
947882,0.0330,0.0242,0.0719
953884,0.0260,0.0172,0.0605
959886,0.0248,0.0129,0.0528
965885,0.0210,0.0096,0.0459
971887,0.0183,0.0075,0.0441
977885,0.0152,0.0056,0.0371
983883,0.0131,0.0034,0.0306
989883,0.0099,0.0025,0.0247
995885,0.0069,0.0008,0.0221
1001884,0.0058,0.0000,0.0198
1007893,0.0057,0.0000,0.0192
1013887,0.0047,0.0000,0.0157
1019887,0.0011,0.0000,0.0124
1025883,0.0011,0.0000,0.0102
