Feature,ICC_Score,N_Samples
Max_Acceleration,0.7530082394814384,59
Press_Duration,0.7429627454431829,59
Release_Time,0.7349848447095296,59
Area,0.6931120555463074,59
Time_to_Peak,0.6723312220256392,59
Max_Depth,0.5221379965149952,59
Max_Velocity,0.32331404496908267,59
