Feature,ICC_Score,N_Samples
Area,0.7755035095811728,49
Time_to_Peak,0.7331502982418387,49
Max_Acceleration,0.6412789079343221,49
Max_Depth,0.5976329744458873,49
Press_Duration,0.4725632352662295,49
Max_Velocity,0.36303941948526836,49
Release_Time,-0.15792652581009628,49
