Time_us,K1,K2,K3
134,0.0045,0.0034,0.0056
6973,0.0021,0.0033,0.0043
13755,0.0032,0.0071,0.0048
19588,0.0037,0.0074,0.0056
25600,0.0024,0.0074,0.0057
32391,0.0031,0.0077,0.0043
39168,0.0043,0.0076,0.0052
45921,0.0050,0.0082,0.0039
52714,0.0053,0.0081,0.0028
58571,0.0052,0.0079,0.0039
64756,0.0055,0.0082,0.0045
70574,0.0026,0.0073,0.0050
77332,0.0036,0.0055,0.0048
84126,0.0038,0.0050,0.0070
90911,0.0046,0.0053,0.0072
97701,0.0034,0.0060,0.0069
103569,0.0052,0.0061,0.0071
109785,0.0057,0.0059,0.0048
116573,0.0059,0.0065,0.0050
122543,0.0061,0.0073,0.0037
129324,0.0059,0.0073,0.0047
136127,0.0064,0.0062,0.0055
142898,0.0034,0.0060,0.0052
149684,0.0061,0.0061,0.0060
155756,0.0068,0.0056,0.0070
161591,0.0047,0.0051,0.0064
167569,0.0032,0.0054,0.0063
174372,0.0034,0.0057,0.0063
181149,0.0024,0.0059,0.0069
187931,0.0015,0.0068,0.0070
194706,0.0027,0.0075,0.0096
200852,0.0027,0.0057,0.0035
207651,0.0033,0.0059,0.0038
213981,0.0039,0.0061,0.0045
220764,0.0047,0.0066,0.0050
226574,0.0056,0.0067,0.0051
233338,0.0024,0.0064,0.0038
240120,0.0034,0.0069,0.0038
246891,0.0055,0.0062,0.0037
253667,0.0042,0.0070,0.0040
259854,0.0030,0.0060,0.0046
266626,0.0042,0.0072,0.0055
272902,0.0053,0.0072,0.0059
279674,0.0040,0.0065,0.0062
285617,0.0041,0.0059,0.0061
291816,0.0045,0.0068,0.0030
298597,0.0052,0.0075,0.0041
305363,0.0055,0.0085,0.0016
312148,0.0060,0.0080,0.0005
318950,0.0031,0.0061,0.0019
325726,0.0018,0.0059,0.0004
331663,0.0010,0.0029,0.0000
337553,0.0022,0.0021,0.0000
343660,0.0008,0.0018,0.0000
349783,0.0023,0.0026,0.0010
355599,0.0033,0.0036,0.0021
362388,0.0023,0.0027,0.0033
369158,0.0039,0.0034,0.0016
375942,0.0053,0.0032,0.0026
382721,0.0053,0.0024,0.0034
388572,0.0049,0.0020,0.0037
394753,0.0083,0.0024,0.0027
400577,0.0081,0.0028,0.0028
406828,0.0061,0.0038,0.0018
413614,0.0068,0.0043,0.0010
420407,0.0065,0.0054,0.0017
427171,0.0051,0.0053,0.0023
433945,0.0063,0.0056,0.0029
440731,0.0070,0.0062,0.0033
446573,0.0082,0.0060,0.0047
453358,0.0090,0.0069,0.0035
460152,0.0087,0.0087,0.0024
466935,0.0065,0.0088,0.0029
473692,0.0051,0.0093,0.0037
479594,0.0047,0.0075,0.0050
485816,0.0023,0.0075,0.0051
492574,0.0030,0.0081,0.0038
498758,0.0045,0.0080,0.0048
504587,0.0083,0.0075,0.0036
511355,0.0090,0.0081,0.0039
518133,0.0099,0.0083,0.0024
524914,0.0095,0.0082,0.0029
531702,0.0100,0.0073,0.0034
537621,0.0105,0.0069,0.0041
543817,0.0112,0.0055,0.0043
550587,0.0109,0.0058,0.0049
557378,0.0112,0.0063,0.0074
564151,0.0115,0.0057,0.0058
570940,0.0093,0.0067,0.0064
577709,0.0086,0.0057,0.0063
583994,0.0087,0.0069,0.0066
590764,0.0093,0.0066,0.0075
596584,0.0074,0.0063,0.0055
