Feature,ICC_Score,N_Samples
Time_to_Peak,0.9028358536921297,56
Press_Duration,0.8998724799335386,56
Area,0.8879708101450604,56
Max_Depth,0.6971482867671278,56
Max_Velocity,0.6605075770127985,56
Max_Acceleration,0.5856676674643738,56
Release_Time,0.5441917623615943,56
