Feature,F,p
Max_Acceleration,226.96081311718152,1.0346010476578941e-292
Area,195.79712236452093,1.5497578069688897e-256
Time_to_Peak,179.13563111274053,1.1140169570617284e-236
Press_Duration,170.01191434006694,1.1983064228994625e-225
Max_Depth,168.55939828853556,7.004378666130072e-224
Max_Velocity,118.174260001232,9.987765898340602e-161
Release_Time,44.889730296106485,6.2300012793643035e-62
