Time_us,K1,K2,K3
138,0.0029,0.0000,0.0095
6987,0.0035,0.0000,0.0105
13695,0.0022,0.0000,0.0100
19795,0.0038,0.0000,0.0096
26410,0.0016,0.0000,0.0089
33109,0.0004,0.0000,0.0083
39837,0.0000,0.0000,0.0082
45675,0.0000,0.0000,0.0073
52316,0.0000,0.0000,0.0067
58943,0.0000,0.0000,0.0064
64747,0.0000,0.0000,0.0076
70794,0.0000,0.0000,0.0085
77407,0.0000,0.0000,0.0107
84027,0.0000,0.0000,0.0101
89684,0.0000,0.0000,0.0097
96303,0.0000,0.0000,0.0110
102942,0.0005,0.0000,0.0111
108695,0.0012,0.0000,0.0105
114882,0.0023,0.0000,0.0100
120971,0.0000,0.0000,0.0090
126757,0.0038,0.0000,0.0100
133403,0.0019,0.0000,0.0093
140107,0.0003,0.0000,0.0090
146811,0.0010,0.0000,0.0104
153406,0.0000,0.0000,0.0096
160046,0.0000,0.0000,0.0079
165718,0.0000,0.0000,0.0075
172357,0.0000,0.0000,0.0074
178991,0.0000,0.0000,0.0087
184671,0.0000,0.0000,0.0099
191302,0.0000,0.0000,0.0085
197944,0.0000,0.0000,0.0070
203782,0.0000,0.0000,0.0057
209794,0.0000,0.0000,0.0056
216036,0.0000,0.0000,0.0052
221714,0.0000,0.0000,0.0045
228351,0.0000,0.0000,0.0049
234973,0.0000,0.0000,0.0036
240846,0.0000,0.0000,0.0051
247402,0.0000,0.0000,0.0048
254032,0.0000,0.0000,0.0048
259697,0.0000,0.0000,0.0045
266334,0.0000,0.0000,0.0063
272967,0.0000,0.0000,0.0074
278810,0.0000,0.0000,0.0091
285397,0.0000,0.0000,0.0085
292016,0.0000,0.0000,0.0096
297683,0.0000,0.0000,0.0109
304322,0.0000,0.0000,0.0101
310929,0.0000,0.0000,0.0093
316661,0.0000,0.0000,0.0090
322767,0.0000,0.0000,0.0087
328752,0.0000,0.0000,0.0082
335384,0.0000,0.0000,0.0070
342027,0.0000,0.0000,0.0071
347709,0.0000,0.0000,0.0054
354338,0.0000,0.0000,0.0050
360963,0.0000,0.0000,0.0040
366825,0.0000,0.0000,0.0035
372961,0.0000,0.0000,0.0064
378723,0.0000,0.0000,0.0059
385364,0.0000,0.0000,0.0061
392000,0.0000,0.0000,0.0062
397665,0.0000,0.0000,0.0054
404278,0.0000,0.0000,0.0073
410929,0.0000,0.0000,0.0067
416942,0.0000,0.0000,0.0081
423073,0.0000,0.0000,0.0076
429704,0.0000,0.0000,0.0092
436323,0.0000,0.0000,0.0083
442947,0.0000,0.0000,0.0071
448760,0.0000,0.0000,0.0065
455383,0.0000,0.0000,0.0053
461982,0.0000,0.0000,0.0049
467717,0.0000,0.0000,0.0039
474363,0.0000,0.0000,0.0041
480997,0.0000,0.0000,0.0032
486754,0.0000,0.0000,0.0055
493357,0.0000,0.0000,0.0041
499992,0.0000,0.0000,0.0039
505658,0.0000,0.0000,0.0037
511686,0.0000,0.0000,0.0043
517706,0.0000,0.0000,0.0047
524351,0.0000,0.0000,0.0064
530979,0.0000,0.0000,0.0079
536745,0.0000,0.0000,0.0078
543352,0.0000,0.0000,0.0070
549989,0.0000,0.0000,0.0061
555735,0.0000,0.0000,0.0062
561734,0.0000,0.0000,0.0074
567794,0.0000,0.0000,0.0070
574380,0.0000,0.0000,0.0064
580990,0.0000,0.0000,0.0065
586665,0.0000,0.0000,0.0066
593302,0.0000,0.0000,0.0054
599922,0.0005,0.0000,0.0053
605665,0.0100,0.0000,0.0056
612231,0.0273,0.0000,0.0069
618960,0.0624,0.0000,0.0093
624729,0.1287,0.0000,0.0100
631410,0.2285,0.0000,0.0092
638124,0.3130,0.0000,0.0103
644839,0.3863,0.0000,0.0088
650983,0.4521,0.0000,0.0103
656719,0.5086,0.0000,0.0095
662863,0.5584,0.0000,0.0091
668820,0.6042,0.0051,0.0088
674707,0.6438,0.0270,0.0099
681409,0.6788,0.0927,0.0069
688196,0.7089,0.2092,0.0059
694969,0.7348,0.3060,0.0075
701756,0.7571,0.3893,0.0088
707671,0.7766,0.4594,0.0082
713865,0.7920,0.5198,0.0064
719686,0.8074,0.5700,0.0065
725830,0.8200,0.6134,0.0080
731708,0.8309,0.6503,0.0079
738250,0.8405,0.6823,0.0074
745043,0.8487,0.7092,0.0088
751821,0.8545,0.7324,0.0075
757709,0.8603,0.7529,0.0071
764405,0.8649,0.7703,0.0058
771164,0.8691,0.7843,0.0074
777944,0.8721,0.7970,0.0094
784720,0.8732,0.8081,0.0154
791409,0.8747,0.8172,0.0380
798193,0.8757,0.8243,0.1283
804968,0.8722,0.8317,0.2518
811727,0.8674,0.8379,0.3577
817669,0.8573,0.8419,0.4471
823789,0.8338,0.8463,0.5217
829701,0.7844,0.8504,0.5868
836410,0.7106,0.8542,0.6408
843179,0.6263,0.8575,0.6878
849991,0.5428,0.8441,0.7273
856750,0.4676,0.7773,0.7593
862666,0.3985,0.6840,0.7871
869401,0.3366,0.5836,0.8091
876198,0.2856,0.4954,0.8251
882976,0.2421,0.4204,0.8381
889761,0.2071,0.3567,0.8501
895676,0.1765,0.3014,0.8587
902403,0.1487,0.2555,0.8646
909180,0.1271,0.2162,0.8723
915967,0.1070,0.1831,0.8749
922738,0.0903,0.1546,0.8771
929406,0.0754,0.1307,0.8720
936197,0.0637,0.1086,0.8295
942980,0.0534,0.0913,0.7440
949765,0.0446,0.0776,0.6421
955721,0.0369,0.0653,0.5462
962408,0.0295,0.0545,0.4647
969185,0.0235,0.0453,0.3991
975962,0.0213,0.0367,0.3403
982761,0.0171,0.0295,0.2864
988675,0.0138,0.0247,0.2442
994819,0.0104,0.0211,0.2086
1000709,0.0093,0.0172,0.1801
1007404,0.0086,0.0129,0.1538
1014198,0.0063,0.0096,0.1332
1020980,0.0035,0.0064,0.1136
1027749,0.0019,0.0040,0.0977
1034409,0.0000,0.0017,0.0824
1040790,0.0000,0.0015,0.0702
1046752,0.0000,0.0002,0.0621
1053406,0.0000,0.0000,0.0528
1060022,0.0000,0.0000,0.0453
1065674,0.0000,0.0000,0.0410
1072297,0.0000,0.0000,0.0359
1078911,0.0000,0.0000,0.0303
1085003,0.0000,0.0000,0.0258
1090687,0.0000,0.0000,0.0224
1097329,0.0000,0.0000,0.0198
1103965,0.0000,0.0000,0.0192
1109747,0.0000,0.0000,0.0174
1116371,0.0000,0.0000,0.0176
1123003,0.0000,0.0000,0.0140
1128675,0.0032,0.0000,0.0130
1134974,0.0297,0.0000,0.0111
1140718,0.1143,0.0000,0.0106
1147388,0.2215,0.0000,0.0114
1154085,0.3170,0.0000,0.0121
1160819,0.4005,0.0000,0.0114
1167407,0.4726,0.0454,0.0108
1173892,0.5377,0.1750,0.0102
1179718,0.5925,0.2805,0.0094
1186036,0.6396,0.3702,0.0105
1192830,0.6796,0.4478,0.0113
1198796,0.7175,0.5135,0.0107
1204716,0.7450,0.5718,0.0112
1210683,0.7710,0.6224,0.0099
1217403,0.7922,0.6658,0.0089
1224186,0.8105,0.7031,0.0083
1230963,0.8267,0.7365,0.0078
1237745,0.8404,0.7692,0.0091
1244408,0.8515,0.7988,0.0081
1251188,0.8604,0.8244,0.0050
1257975,0.8676,0.8457,0.0067
1264749,0.8752,0.8638,0.0068
1271403,0.8802,0.8789,0.0065
1278189,0.8850,0.8899,0.0189
1284977,0.8891,0.9014,0.0633
1291775,0.8915,0.9108,0.1590
1297754,0.8932,0.9185,0.2659
1303898,0.8943,0.9239,0.3568
1309694,0.8845,0.9296,0.4337
1315706,0.8429,0.9344,0.4991
1322407,0.7671,0.9368,0.5547
1329195,0.6749,0.9373,0.6029
1335983,0.5829,0.9342,0.6449
1342741,0.4968,0.8807,0.6812
1348713,0.4230,0.7862,0.7138
1354887,0.3582,0.6748,0.7412
1360679,0.3035,0.5722,0.7657
1367399,0.2569,0.4857,0.7859
1374176,0.2180,0.4118,0.8008
1380957,0.1860,0.3483,0.8138
1387711,0.1589,0.2950,0.8238
1394411,0.1361,0.2494,0.8310
1401190,0.1167,0.2113,0.8355
1407981,0.0999,0.1785,0.8373
1414755,0.0819,0.1500,0.8355
1421405,0.0686,0.1265,0.8336
1428209,0.0590,0.1065,0.8311
