Time_us,K1,K2,K3
136,0.0000,0.0000,0.0082
6832,0.0000,0.0000,0.0094
12940,0.0000,0.0000,0.0091
19579,0.0000,0.0000,0.0098
26218,0.0000,0.0000,0.0111
32848,0.0000,0.0000,0.0119
38501,0.0000,0.0000,0.0105
45135,0.0000,0.0000,0.0094
51750,0.0000,0.0000,0.0104
57814,0.0000,0.0000,0.0099
63993,0.0000,0.0000,0.0095
70608,0.0000,0.0000,0.0092
77237,0.0000,0.0000,0.0099
83858,0.0000,0.0000,0.0095
89519,0.0000,0.0000,0.0091
96134,0.0000,0.0000,0.0085
102775,0.0000,0.0000,0.0080
108820,0.0000,0.0000,0.0069
114561,0.0000,0.0000,0.0083
121182,0.0000,0.0000,0.0075
127805,0.0000,0.0000,0.0088
133615,0.0000,0.0000,0.0082
140242,0.0000,0.0000,0.0067
146859,0.0000,0.0000,0.0082
152523,0.0000,0.0000,0.0080
158559,0.0000,0.0000,0.0092
165183,0.0000,0.0000,0.0089
171805,0.0000,0.0000,0.0087
177562,0.0000,0.0000,0.0105
184189,0.0000,0.0000,0.0100
190821,0.0000,0.0000,0.0096
196864,0.0000,0.0000,0.0082
202527,0.0000,0.0000,0.0074
208562,0.0000,0.0000,0.0070
215217,0.0000,0.0000,0.0084
221850,0.0000,0.0000,0.0079
227504,0.0000,0.0000,0.0088
233594,0.0000,0.0000,0.0079
240203,0.0000,0.0000,0.0058
246840,0.0000,0.0000,0.0050
252521,0.0018,0.0000,0.0044
258847,0.0026,0.0000,0.0061
265565,0.0006,0.0000,0.0063
272273,0.0000,0.0000,0.0078
278898,0.0000,0.0000,0.0070
285541,0.0000,0.0000,0.0071
291763,0.0000,0.0000,0.0068
297541,0.0000,0.0000,0.0062
303556,0.0000,0.0000,0.0057
310199,0.0000,0.0000,0.0052
316843,0.0000,0.0000,0.0055
322520,0.0000,0.0000,0.0054
329129,0.0000,0.0000,0.0071
335757,0.0000,0.0000,0.0064
341799,0.0000,0.0000,0.0062
347611,0.0000,0.0000,0.0057
354248,0.0000,0.0000,0.0049
360877,0.0000,0.0000,0.0039
366524,0.0000,0.0000,0.0061
373157,0.0000,0.0000,0.0063
379794,0.0000,0.0000,0.0064
385568,0.0000,0.0000,0.0079
391598,0.0000,0.0000,0.0058
398220,0.0000,0.0000,0.0057
404859,0.0069,0.0000,0.0059
411555,0.0308,0.0000,0.0071
418288,0.0960,0.0000,0.0071
424999,0.2057,0.0000,0.0088
431707,0.2991,0.0000,0.0079
437835,0.3815,0.0000,0.0075
444550,0.4542,0.0000,0.0065
451275,0.5165,0.0000,0.0062
457988,0.5695,0.0000,0.0064
464698,0.6163,0.0000,0.0075
470592,0.6566,0.0000,0.0092
477302,0.6906,0.0000,0.0089
484023,0.7201,0.0051,0.0096
490797,0.7443,0.0216,0.0083
497592,0.7646,0.0538,0.0081
503616,0.7818,0.1259,0.0080
509533,0.7993,0.2402,0.0079
516312,0.8143,0.3367,0.0054
523101,0.8264,0.4186,0.0047
529882,0.8358,0.4876,0.0044
536664,0.8450,0.5473,0.0042
542831,0.8530,0.5991,0.0040
549605,0.8596,0.6456,0.0055
556337,0.8655,0.6859,0.0068
563106,0.8688,0.7226,0.0082
569871,0.8733,0.7542,0.0070
576651,0.8765,0.7800,0.0071
582764,0.8790,0.8037,0.0071
589569,0.8808,0.8238,0.0081
595546,0.8821,0.8410,0.0146
602322,0.8820,0.8544,0.0129
609077,0.8792,0.8670,0.0117
615872,0.8705,0.8773,0.0103
622638,0.8503,0.8864,0.0086
628816,0.8002,0.8930,0.0104
635583,0.7220,0.8991,0.0155
642338,0.6287,0.9042,0.0263
649125,0.5381,0.9071,0.0516
655907,0.4581,0.9085,0.1209
662683,0.3889,0.9069,0.2405
668508,0.3284,0.9040,0.3428
675294,0.2781,0.8980,0.4291
681593,0.2354,0.8901,0.5012
687531,0.2055,0.8718,0.5621
693754,0.1754,0.8080,0.6135
699563,0.1496,0.7105,0.6575
706326,0.1261,0.6025,0.6923
713125,0.1079,0.5104,0.7222
719912,0.0913,0.4317,0.7486
726688,0.0769,0.3656,0.7711
732680,0.0649,0.3097,0.7895
738838,0.0556,0.2622,0.8052
745634,0.0460,0.2218,0.8188
751559,0.0395,0.1872,0.8304
758331,0.0376,0.1566,0.8399
765117,0.0312,0.1325,0.8474
771872,0.0255,0.1116,0.8533
778648,0.0201,0.0920,0.8584
784948,0.0155,0.0754,0.8608
791734,0.0139,0.0627,0.8565
797544,0.0105,0.0515,0.8505
804304,0.0140,0.0420,0.8079
811085,0.0115,0.0351,0.7269
817863,0.0102,0.0288,0.6313
824626,0.0074,0.0241,0.5390
830581,0.0055,0.0195,0.4589
836802,0.0022,0.0155,0.3925
843600,0.0006,0.0118,0.3347
849596,0.0012,0.0090,0.2849
856331,0.0021,0.0073,0.2423
863109,0.0022,0.0055,0.2084
869908,0.0015,0.0030,0.1799
876683,0.0023,0.0015,0.1536
882694,0.0027,0.0000,0.1317
889335,0.0016,0.0000,0.1127
896047,0.0009,0.0000,0.0959
902766,0.0000,0.0000,0.0816
909341,0.0000,0.0000,0.0694
915980,0.0000,0.0000,0.0601
922620,0.0000,0.0000,0.0512
929252,0.0000,0.0000,0.0459
935862,0.0000,0.0000,0.0398
941512,0.0000,0.0000,0.0342
948141,0.0000,0.0000,0.0302
954768,0.0000,0.0000,0.0247
960545,0.0000,0.0000,0.0215
967153,0.0012,0.0000,0.0207
973885,0.0146,0.0000,0.0186
980609,0.0365,0.0000,0.0169
987327,0.0764,0.0000,0.0151
994056,0.1537,0.0000,0.0176
1000775,0.2503,0.0011,0.0174
1007563,0.3321,0.0114,0.0156
1013552,0.4014,0.0205,0.0136
1019800,0.4591,0.0311,0.0123
1026569,0.5079,0.0376,0.0099
1032554,0.5502,0.0459,0.0095
1039321,0.5862,0.0616,0.0092
1046093,0.6173,0.0915,0.0102
1052875,0.6438,0.1426,0.0094
1059644,0.6666,0.2325,0.0177
1065570,0.6860,0.3237,0.0162
1072312,0.7028,0.3990,0.0165
1079094,0.7168,0.4648,0.0148
1085886,0.7286,0.5208,0.0136
1092673,0.7396,0.5694,0.0140
1098841,0.7489,0.6107,0.0140
1105613,0.7568,0.6459,0.0127
1112338,0.7647,0.6754,0.0119
1119130,0.7706,0.7012,0.0112
1125918,0.7744,0.7227,0.0116
1132714,0.7787,0.7418,0.0133
1138548,0.7813,0.7569,0.0120
1145336,0.7826,0.7694,0.0110
1152109,0.7858,0.7804,0.0097
1158899,0.7853,0.7929,0.0077
1165682,0.7612,0.8000,0.0090
1171572,0.7136,0.8071,0.0087
1177676,0.6496,0.8124,0.0078
1183582,0.5724,0.8180,0.0094
1190334,0.4940,0.8231,0.0088
1197120,0.4221,0.8260,0.0082
1203904,0.3598,0.8296,0.0080
1210688,0.3072,0.8319,0.0076
1216584,0.2604,0.8342,0.0065
1223340,0.2203,0.8344,0.0252
1230125,0.1868,0.8346,0.1307
1236925,0.1595,0.8358,0.2355
1243716,0.1367,0.8368,0.3240
1249557,0.1146,0.8362,0.3985
1256306,0.0981,0.8365,0.4616
1263082,0.0824,0.8148,0.5161
1269852,0.0693,0.7517,0.5619
1276630,0.0582,0.6612,0.5991
1283194,0.0578,0.5653,0.6327
1289964,0.0466,0.4773,0.6613
1296752,0.0380,0.4007,0.6839
1302573,0.0331,0.3396,0.7044
1309315,0.0289,0.2880,0.7219
1316104,0.0250,0.2423,0.7371
1322869,0.0240,0.2053,0.7490
1329639,0.0200,0.1731,0.7605
1335810,0.0177,0.1440,0.7692
1342581,0.0135,0.1206,0.7819
1348558,0.0104,0.1008,0.7875
1354572,0.0084,0.0853,0.7912
1360560,0.0050,0.0704,0.7940
1367330,0.0073,0.0567,0.7645
1373507,0.0043,0.0471,0.7004
1379981,0.0032,0.0397,0.6156
1386755,0.0011,0.0328,0.5257
1393546,0.0005,0.0257,0.4493
1400293,0.0000,0.0205,0.3843
1406989,0.0003,0.0167,0.3291
1413769,0.0000,0.0135,0.2825
1419511,0.0000,0.0101,0.2399
1425696,0.0000,0.0061,0.2043
1431601,0.0000,0.0045,0.1744
1437568,0.0000,0.0017,0.1493
1444266,0.0000,0.0012,0.1280
1450987,0.0000,0.0000,0.1122
1457632,0.0000,0.0000,0.0955
1463607,0.0000,0.0000,0.0819
1470237,0.0000,0.0000,0.0777
1476870,0.0000,0.0018,0.0645
1483579,0.0000,0.0000,0.0569
1490208,0.0000,0.0000,0.0485
1496829,0.0000,0.0000,0.0413
1502598,0.0000,0.0000,0.0358
1509241,0.0000,0.0000,0.0299
1515877,0.0000,0.0000,0.0262
1521548,0.0000,0.0000,0.0233
1528184,0.0000,0.0000,0.0226
1534832,0.0000,0.0000,0.0203
1540504,0.0078,0.0000,0.0193
1546594,0.0584,0.0000,0.0189
1553314,0.1710,0.0000,0.0171
1560034,0.2700,0.0000,0.0166
1566761,0.3568,0.0000,0.0142
1572512,0.4322,0.0000,0.0132
1578572,0.4958,0.0000,0.0123
1584806,0.5499,0.0000,0.0099
1590571,0.5958,0.0000,0.0085
1596647,0.6346,0.0000,0.0070
1602606,0.6687,0.0000,0.0080
1609329,0.6956,0.0000,0.0072
1616053,0.7197,0.0000,0.0089
1622778,0.7372,0.0000,0.0083
1628530,0.7556,0.0000,0.0092
1634681,0.7698,0.0000,0.0085
1640813,0.7819,0.0000,0.0083
1647557,0.7933,0.0000,0.0082
1654288,0.8027,0.0000,0.0077
1660989,0.8119,0.0076,0.0086
1667778,0.8191,0.0652,0.0084
1674563,0.8267,0.1858,0.0076
1680558,0.8329,0.2864,0.0089
1686506,0.8384,0.3713,0.0103
1693286,0.8419,0.4430,0.0098
1700053,0.8461,0.5044,0.0091
1706835,0.8496,0.5576,0.0085
1713626,0.8524,0.6025,0.0083
1719556,0.8538,0.6410,0.0081
1725826,0.8556,0.6752,0.0077
1732573,0.8571,0.7039,0.0086
1738521,0.8578,0.7272,0.0084
1745310,0.8553,0.7491,0.0082
1752106,0.8507,0.7682,0.0077
1758899,0.8431,0.7854,0.0077
1765667,0.8345,0.8022,0.0076
1771600,0.8264,0.8179,0.0092
1777876,0.8160,0.8331,0.0149
1784655,0.7885,0.8449,0.0234
1790577,0.7389,0.8560,0.0270
1797321,0.6643,0.8636,0.0330
1804086,0.5803,0.8719,0.0437
1810860,0.4975,0.8775,0.0711
1817627,0.4236,0.8816,0.1338
1823817,0.3585,0.8822,0.2422
1830613,0.3055,0.8848,0.3340
1836549,0.2592,0.8817,0.4113
1843320,0.2214,0.8787,0.4764
1850088,0.1895,0.8583,0.5321
1856862,0.1603,0.7908,0.5797
1863658,0.1397,0.6901,0.6205
1869997,0.1174,0.5852,0.6549
1876517,0.1005,0.4967,0.6835
1883303,0.0850,0.4212,0.7071
1890094,0.0730,0.3570,0.7278
1896885,0.0646,0.3017,0.7477
1903676,0.0609,0.2525,0.7614
1909519,0.0513,0.2125,0.7726
1916283,0.0446,0.1789,0.7805
1922533,0.0372,0.1507,0.7869
1928532,0.0324,0.1263,0.7917
1935322,0.0271,0.1060,0.7958
1942112,0.0217,0.0890,0.7982
1948894,0.0166,0.0743,0.7774
1955679,0.0134,0.0618,0.7156
1961503,0.0100,0.0515,0.6306
1967656,0.0090,0.0427,0.5414
1973810,0.0069,0.0349,0.4626
1980587,0.0063,0.0294,0.3957
1987334,0.0038,0.0236,0.3344
1994134,0.0019,0.0186,0.2853
2000935,0.0047,0.0137,0.2446
2007723,0.0030,0.0103,0.2080
2013541,0.0030,0.0070,0.1776
2019817,0.0015,0.0049,0.1517
2026609,0.0020,0.0035,0.1294
2032783,0.0013,0.0023,0.1121
2039550,0.0016,0.0002,0.0973
2046321,0.0006,0.0000,0.0838
2053033,0.0001,0.0000,0.0737
2059759,0.0000,0.0000,0.0647
2065744,0.0000,0.0000,0.0554
2071756,0.0000,0.0000,0.0492
2078338,0.0000,0.0000,0.0426
2084967,0.0141,0.0000,0.0386
2091671,0.0617,0.0000,0.0366
2097552,0.1669,0.0000,0.0372
2104253,0.2706,0.0000,0.0340
2110956,0.3590,0.0000,0.0290
2117682,0.4341,0.0000,0.0254
2123550,0.4980,0.0000,0.0227
2130265,0.5520,0.0000,0.0197
2136975,0.5988,0.0000,0.0178
2143699,0.6377,0.0000,0.0156
2149657,0.6690,0.0000,0.0153
2155817,0.6979,0.0000,0.0128
2161556,0.7225,0.0000,0.0110
2168259,0.7429,0.0000,0.0087
2174977,0.7610,0.0000,0.0099
2181721,0.7776,0.0000,0.0105
2187542,0.7891,0.0000,0.0090
2194261,0.8003,0.0000,0.0084
2200971,0.8104,0.0000,0.0092
2207690,0.8190,0.0000,0.0089
2213593,0.8263,0.0000,0.0083
2219511,0.8331,0.0000,0.0075
2226217,0.8386,0.0017,0.0068
2232998,0.8436,0.0760,0.0085
2239783,0.8492,0.2053,0.0083
2246576,0.8532,0.3095,0.0075
2252822,0.8554,0.4019,0.0085
2259605,0.8578,0.4813,0.0070
2265539,0.8581,0.5494,0.0063
2272319,0.8590,0.6063,0.0065
2279087,0.8615,0.6550,0.0059
2285854,0.8615,0.6967,0.0075
2292633,0.8590,0.7322,0.0068
2299039,0.8568,0.7616,0.0088
2305807,0.8514,0.7859,0.0083
2312572,0.8449,0.8077,0.0081
2318550,0.8375,0.8251,0.0090
2325336,0.8321,0.8495,0.0077
2332118,0.8270,0.8613,0.0090
2338913,0.8220,0.8718,0.0084
2345692,0.8181,0.8806,0.0099
2351525,0.8148,0.8878,0.0138
2357707,0.8105,0.8943,0.0251
2363507,0.7978,0.8990,0.0437
2370290,0.7567,0.9024,0.0807
2377074,0.6915,0.9041,0.1718
2383844,0.6133,0.9074,0.2778
2390626,0.5337,0.9091,0.3669
