Time_us,K1,K2,K3
128,0.0000,0.0009,0.0000
5913,0.0000,0.0009,0.0000
11953,0.0000,0.0001,0.0000
18595,0.0000,0.0019,0.0000
25231,0.0000,0.0006,0.0000
30922,0.0000,0.0003,0.0000
37038,0.0000,0.0000,0.0000
42965,0.0000,0.0000,0.0000
48842,0.0000,0.0000,0.0000
55380,0.0000,0.0002,0.0000
62011,0.0000,0.0000,0.0000
67843,0.0000,0.0000,0.0000
74359,0.0000,0.0000,0.0000
80887,0.0000,0.0000,0.0000
87403,0.0000,0.0000,0.0000
93941,0.0000,0.0000,0.0000
100453,0.0000,0.0000,0.0000
106984,0.0000,0.0000,0.0000
113514,0.0000,0.0000,0.0000
120036,0.0000,0.0000,0.0000
125835,0.0000,0.0000,0.0000
131840,0.0000,0.0000,0.0000
138379,0.0000,0.0000,0.0000
144894,0.0000,0.0000,0.0000
151425,0.0000,0.0000,0.0000
157936,0.0000,0.0000,0.0000
163843,0.0000,0.0000,0.0000
170340,0.0000,0.0000,0.0000
175895,0.0000,0.0000,0.0000
182434,0.0000,0.0000,0.0000
188942,0.0000,0.0000,0.0000
194848,0.0000,0.0000,0.0000
201377,0.0000,0.0000,0.0000
207904,0.0000,0.0000,0.0000
214420,0.0000,0.0000,0.0000
220929,0.0000,0.0000,0.0000
227442,0.0000,0.0000,0.0000
233955,0.0000,0.0000,0.0000
240466,0.0000,0.0000,0.0000
246962,0.0000,0.0000,0.0000
252896,0.0000,0.0000,0.0000
259423,0.0000,0.0000,0.0000
265951,0.0000,0.0000,0.0000
272448,0.0000,0.0000,0.0000
278955,0.0000,0.0000,0.0000
285488,0.0000,0.0000,0.0000
292008,0.0000,0.0000,0.0000
297928,0.0000,0.0000,0.0000
304438,0.0000,0.0000,0.0000
310959,0.0000,0.0000,0.0000
317467,0.0000,0.0000,0.0000
323990,0.0000,0.0000,0.0000
330521,0.0000,0.0000,0.0000
337038,0.0000,0.0000,0.0000
342968,0.0000,0.0000,0.0000
348944,0.0000,0.0000,0.0000
355468,0.0000,0.0000,0.0000
361981,0.0000,0.0000,0.0000
368480,0.0000,0.0000,0.0000
375006,0.0000,0.0000,0.0000
381529,0.0000,0.0000,0.0000
388038,0.0000,0.0000,0.0000
393956,0.0000,0.0000,0.0000
399862,0.0000,0.0000,0.0000
406370,0.0000,0.0000,0.0000
412895,0.0000,0.0000,0.0000
419410,0.0000,0.0000,0.0000
425922,0.0000,0.0000,0.0000
431938,0.0000,0.0000,0.0000
437950,0.0000,0.0000,0.0000
443951,0.0000,0.0000,0.0000
450470,0.0000,0.0000,0.0000
456988,0.0000,0.0000,0.0000
463505,0.0000,0.0000,0.0000
470019,0.0000,0.0000,0.0000
476536,0.0000,0.0000,0.0000
483059,0.0004,0.0000,0.0000
489186,0.0119,0.0000,0.0000
494846,0.0341,0.0000,0.0000
501484,0.0847,0.0000,0.0000
508129,0.2009,0.0000,0.0000
513875,0.2994,0.0000,0.0000
520528,0.3813,0.0000,0.0000
527174,0.4545,0.0000,0.0000
532858,0.5166,0.0000,0.0000
539516,0.5700,0.0000,0.0000
546155,0.6166,0.0000,0.0000
551896,0.6568,0.0000,0.0000
558536,0.6903,0.0008,0.0000
565252,0.7211,0.0207,0.0000
571994,0.7462,0.0727,0.0000
578096,0.7666,0.1904,0.0000
583901,0.7854,0.2985,0.0000
589853,0.8020,0.3901,0.0000
596565,0.8158,0.4714,0.0000
603290,0.8269,0.5378,0.0000
610015,0.8370,0.5948,0.0000
616460,0.8458,0.6423,0.0000
623189,0.8516,0.6816,0.0000
629907,0.8585,0.7161,0.0024
635862,0.8656,0.7443,0.0169
642655,0.8704,0.7693,0.0554
648916,0.8780,0.7878,0.1720
654859,0.8806,0.8056,0.2881
661611,0.8826,0.8215,0.3841
668383,0.8846,0.8346,0.4667
675162,0.8863,0.8461,0.5404
681945,0.8877,0.8548,0.6034
688109,0.8861,0.8633,0.6563
693906,0.8745,0.8701,0.7029
699851,0.8448,0.8763,0.7426
706607,0.7900,0.8809,0.7763
713378,0.7163,0.8830,0.8043
720144,0.6360,0.8848,0.8267
726899,0.5550,0.8831,0.8474
733298,0.4796,0.8793,0.8637
740087,0.4076,0.8722,0.8754
745854,0.3476,0.8676,0.8850
752631,0.2966,0.8265,0.8900
759415,0.2539,0.7467,0.8901
766172,0.2155,0.6513,0.8871
772963,0.1808,0.5550,0.8834
778942,0.1514,0.4719,0.8503
785193,0.1284,0.4012,0.7641
791988,0.1065,0.3407,0.6536
797946,0.0943,0.2879,0.5533
803856,0.0778,0.2441,0.4708
810643,0.0655,0.2072,0.3979
817427,0.0548,0.1765,0.3385
824201,0.0457,0.1491,0.2868
830951,0.0386,0.1264,0.2444
837278,0.0328,0.1075,0.2068
844054,0.0267,0.0918,0.1785
