Time_us,K1,K2,K3
137,0.0000,0.0000,0.0000
6769,0.0000,0.0000,0.0000
12763,0.0000,0.0000,0.0000
18769,0.0000,0.0000,0.0000
25289,0.0000,0.0000,0.0000
31795,0.0011,0.0000,0.0000
38444,0.0018,0.0000,0.0000
45098,0.0000,0.0000,0.0000
50820,0.0000,0.0000,0.0000
57350,0.0000,0.0000,0.0015
63953,0.0000,0.0000,0.0021
69982,0.0000,0.0000,0.0037
75792,0.0000,0.0000,0.0024
82409,0.0000,0.0000,0.0009
89033,0.0000,0.0000,0.0000
94740,0.0000,0.0000,0.0000
101240,0.0000,0.0000,0.0008
107855,0.0000,0.0000,0.0013
114084,0.0000,0.0000,0.0006
119761,0.0000,0.0000,0.0000
126298,0.0000,0.0000,0.0000
132831,0.0000,0.0000,0.0000
139347,0.0000,0.0000,0.0000
145873,0.0000,0.0000,0.0000
152393,0.0000,0.0000,0.0000
158903,0.0000,0.0000,0.0000
164824,0.0000,0.0000,0.0000
171346,0.0000,0.0000,0.0000
177875,0.0000,0.0000,0.0000
184394,0.0000,0.0000,0.0000
190919,0.0000,0.0000,0.0000
197440,0.0000,0.0000,0.0000
203954,0.0000,0.0000,0.0000
209842,0.0000,0.0000,0.0000
216350,0.0000,0.0000,0.0000
222867,0.0013,0.0000,0.0000
229510,0.0037,0.0000,0.0000
236145,0.0127,0.0000,0.0000
242783,0.0334,0.0000,0.0000
249424,0.0815,0.0000,0.0000
256062,0.1832,0.0000,0.0000
261733,0.2837,0.0000,0.0000
268395,0.3686,0.0000,0.0000
275041,0.4419,0.0000,0.0000
280736,0.5039,0.0000,0.0000
287373,0.5575,0.0000,0.0000
294020,0.6031,0.0000,0.0000
300072,0.6424,0.0000,0.0000
305737,0.6766,0.0000,0.0000
312373,0.7063,0.0000,0.0000
318995,0.7328,0.0109,0.0001
325778,0.7552,0.0392,0.0033
332551,0.7757,0.1051,0.0130
339323,0.7955,0.2174,0.0427
346106,0.8111,0.3118,0.1525
352906,0.8253,0.3958,0.2548
358886,0.8376,0.4683,0.3414
364836,0.8472,0.5309,0.4160
370793,0.8571,0.5831,0.4794
376737,0.8626,0.6288,0.5336
383496,0.8667,0.6684,0.5797
390268,0.8694,0.7016,0.6186
397042,0.8708,0.7299,0.6520
403817,0.8555,0.7557,0.6800
409843,0.8190,0.7769,0.7045
415825,0.7589,0.7960,0.7256
421760,0.6841,0.8111,0.7429
428547,0.6000,0.8240,0.7583
435337,0.5146,0.8360,0.7710
442104,0.4363,0.8383,0.7818
448876,0.3694,0.8125,0.7904
455080,0.3146,0.7569,0.7970
461861,0.2674,0.6785,0.8029
467743,0.2252,0.5946,0.8073
474533,0.1921,0.5127,0.8094
481309,0.1638,0.4359,0.8105
488118,0.1393,0.3692,0.8094
494901,0.1184,0.3118,0.7966
500734,0.1012,0.2645,0.7476
507529,0.0846,0.2225,0.6661
514319,0.0719,0.1892,0.5754
521127,0.0614,0.1602,0.4886
527913,0.0522,0.1355,0.4149
533730,0.0450,0.1132,0.3532
540410,0.0365,0.0949,0.2994
547162,0.0316,0.0801,0.2521
553933,0.0278,0.0678,0.2105
559749,0.0213,0.0577,0.1784
566528,0.0184,0.0471,0.1509
573307,0.0142,0.0384,0.1271
579808,0.0103,0.0320,0.1056
586208,0.0070,0.0262,0.0893
593014,0.0057,0.0214,0.0745
599803,0.0031,0.0172,0.0638
605737,0.0026,0.0147,0.0518
612512,0.0011,0.0132,0.0429
619297,0.0012,0.0106,0.0357
626084,0.0013,0.0088,0.0292
632875,0.0014,0.0072,0.0244
639004,0.0001,0.0055,0.0196
645773,0.0000,0.0030,0.0162
652481,0.0000,0.0009,0.0130
659222,0.0000,0.0000,0.0106
665842,0.0000,0.0000,0.0075
671872,0.0000,0.0000,0.0059
678117,0.0000,0.0000,0.0046
683756,0.0000,0.0000,0.0031
690403,0.0000,0.0000,0.0022
697033,0.0000,0.0000,0.0014
702981,0.0000,0.0000,0.0000
709519,0.0009,0.0000,0.0000
716171,0.0054,0.0000,0.0000
722810,0.0078,0.0000,0.0000
728826,0.0182,0.0000,0.0000
735008,0.0369,0.0000,0.0000
740865,0.0721,0.0000,0.0000
747504,0.1436,0.0000,0.0000
754149,0.2458,0.0000,0.0000
760800,0.3369,0.0000,0.0000
767453,0.4138,0.0000,0.0000
774100,0.4807,0.0000,0.0000
780763,0.5389,0.0000,0.0000
787404,0.5893,0.0000,0.0000
794063,0.6332,0.0000,0.0006
800764,0.6715,0.0024,0.0000
806748,0.7060,0.0199,0.0000
813443,0.7365,0.0548,0.0015
820217,0.7624,0.1427,0.0078
827000,0.7868,0.2469,0.0185
833789,0.8066,0.3345,0.0398
839770,0.8232,0.4086,0.0821
846572,0.8373,0.4743,0.1926
853348,0.8478,0.5364,0.2882
860121,0.8550,0.5850,0.3698
866900,0.8605,0.6257,0.4388
873105,0.8632,0.6578,0.4988
879875,0.8641,0.6872,0.5577
885832,0.8625,0.7118,0.6075
891726,0.8583,0.7324,0.6475
