Time_us,K1,K2,K3
135,0.0000,0.0000,0.0025
6624,0.0000,0.0000,0.0034
12621,0.0000,0.0000,0.0038
18621,0.0000,0.0000,0.0039
24617,0.0000,0.0000,0.0046
30616,0.0000,0.0000,0.0048
36619,0.0000,0.0000,0.0054
42614,0.0000,0.0000,0.0035
48617,0.0000,0.0000,0.0022
54625,0.0000,0.0034,0.0025
60618,0.0000,0.0020,0.0014
66623,0.0000,0.0019,0.0018
72547,0.0000,0.0017,0.0000
78621,0.0000,0.0016,0.0000
84615,0.0000,0.0015,0.0000
90613,0.0000,0.0014,0.0000
96611,0.0000,0.0014,0.0000
102614,0.0000,0.0016,0.0000
108617,0.0000,0.0009,0.0000
114615,0.0000,0.0016,0.0000
120612,0.0000,0.0008,0.0000
126611,0.0000,0.0008,0.0000
132608,0.0000,0.0012,0.0000
138614,0.0000,0.0015,0.0000
144614,0.0000,0.0000,0.0000
150615,0.0000,0.0000,0.0000
156604,0.0000,0.0000,0.0000
162534,0.0000,0.0013,0.0009
168618,0.0000,0.0019,0.0017
174624,0.0000,0.0000,0.0031
180621,0.0000,0.0000,0.0012
186620,0.0000,0.0000,0.0020
192617,0.0000,0.0000,0.0026
198619,0.0000,0.0000,0.0035
204623,0.0000,0.0000,0.0022
210624,0.0000,0.0000,0.0012
216622,0.0000,0.0000,0.0023
222624,0.0000,0.0000,0.0029
228619,0.0000,0.0000,0.0031
234619,0.0000,0.0000,0.0019
240620,0.0000,0.0000,0.0072
246620,0.0000,0.0000,0.0057
252622,0.0000,0.0000,0.0055
258621,0.0000,0.0000,0.0039
264618,0.0000,0.0000,0.0056
270624,0.0000,0.0000,0.0060
276618,0.0000,0.0000,0.0034
282622,0.0000,0.0000,0.0021
288622,0.0000,0.0000,0.0011
294622,0.0000,0.0000,0.0022
300621,0.0000,0.0004,0.0035
306618,0.0000,0.0004,0.0036
312619,0.0000,0.0000,0.0023
318623,0.0000,0.0001,0.0039
324620,0.0000,0.0002,0.0012
330621,0.0000,0.0000,0.0017
336623,0.0000,0.0007,0.0000
342619,0.0000,0.0004,0.0013
348622,0.0000,0.0005,0.0003
354616,0.0000,0.0022,0.0012
360618,0.0000,0.0014,0.0020
366616,0.0000,0.0010,0.0023
372622,0.0000,0.0000,0.0012
378618,0.0000,0.0000,0.0000
384610,0.0000,0.0000,0.0000
390607,0.0000,0.0000,0.0000
396606,0.0000,0.0000,0.0000
402608,0.0000,0.0000,0.0000
408610,0.0000,0.0000,0.0000
414604,0.0000,0.0000,0.0000
420606,0.0000,0.0000,0.0000
426608,0.0000,0.0041,0.0000
432612,0.0000,0.0023,0.0000
438613,0.0000,0.0017,0.0000
444616,0.0000,0.0013,0.0000
450617,0.0000,0.0009,0.0000
456614,0.0000,0.0006,0.0000
462612,0.0000,0.0006,0.0000
468612,0.0000,0.0000,0.0000
474610,0.0000,0.0025,0.0000
480617,0.0000,0.0026,0.0000
486616,0.0000,0.0017,0.0000
492614,0.0000,0.0006,0.0000
498618,0.0000,0.0000,0.0006
504620,0.0000,0.0000,0.0015
510623,0.0000,0.0000,0.0022
516621,0.0000,0.0000,0.0035
522621,0.0000,0.0000,0.0039
528621,0.0000,0.0000,0.0029
534626,0.0000,0.0000,0.0031
540625,0.0000,0.0000,0.0019
546621,0.0000,0.0000,0.0012
552618,0.0000,0.0000,0.0030
558627,0.0000,0.0000,0.0041
564618,0.0000,0.0000,0.0018
570622,0.0000,0.0000,0.0025
576624,0.0000,0.0000,0.0017
582615,0.0000,0.0000,0.0000
588608,0.0000,0.0000,0.0000
594609,0.0000,0.0000,0.0000
600604,0.0000,0.0000,0.0003
606621,0.0000,0.0000,0.0018
612622,0.0000,0.0000,0.0008
618621,0.0000,0.0000,0.0020
624623,0.0000,0.0000,0.0009
630618,0.0000,0.0000,0.0014
636622,0.0000,0.0000,0.0031
642626,0.0000,0.0000,0.0049
648622,0.0000,0.0000,0.0072
654619,0.0000,0.0000,0.0107
660622,0.0000,0.0000,0.0180
666554,0.0000,0.0000,0.0296
672616,0.0000,0.0000,0.0478
678616,0.0000,0.0000,0.0712
684614,0.0000,0.0000,0.0988
690620,0.0000,0.0000,0.1266
696614,0.0000,0.0000,0.1599
702622,0.0000,0.0000,0.2036
708617,0.0000,0.0000,0.2740
714620,0.0000,0.0000,0.3569
720621,0.0000,0.0000,0.4274
726621,0.0000,0.0000,0.4873
732621,0.0000,0.0000,0.5382
738620,0.0000,0.0000,0.5838
744620,0.0000,0.0000,0.6229
750624,0.0000,0.0000,0.6561
756622,0.0000,0.0000,0.6850
762624,0.0000,0.0000,0.7096
768623,0.0000,0.0000,0.7308
774623,0.0000,0.0000,0.7488
780620,0.0000,0.0000,0.7649
786616,0.0000,0.0000,0.7785
792621,0.0000,0.0000,0.7903
798619,0.0000,0.0000,0.7991
804620,0.0000,0.0000,0.8076
810619,0.0000,0.0113,0.8148
816624,0.0000,0.0494,0.8209
822619,0.0000,0.1358,0.8254
